episode,steps,reward,avg_reward_100,avg_reward_20,loss,total_steps,elapsed_sec
1,44,-2.80,-2.80,-2.80,,44,25.9
2,48,6.30,1.75,1.75,,92,58.2
3,37,-5.60,-0.70,-0.70,,129,84.9
4,36,-0.20,-0.57,-0.57,,165,111.2
5,37,-6.80,-1.82,-1.82,,202,137.9
6,48,2.90,-1.03,-1.03,,250,170.3
7,34,-1.70,-1.13,-1.13,,284,196.5
8,36,-7.20,-1.89,-1.89,,320,222.9
9,36,-6.00,-2.34,-2.34,,356,249.2
10,36,-1.60,-2.27,-2.27,,392,275.5
11,36,-8.30,-2.82,-2.82,,428,301.8
12,36,-8.10,-3.26,-3.26,,464,328.0
13,36,-8.10,-3.63,-3.63,,500,354.3
14,35,-11.50,-4.19,-4.19,,535,380.9
15,40,-11.90,-4.71,-4.71,,575,409.1
16,36,-11.60,-5.14,-5.14,,611,435.3
17,40,-11.90,-5.54,-5.54,,651,463.6
18,40,-11.90,-5.89,-5.89,,691,491.9
